"id","socname","v149","v150","v151","v152","v153","v154","v155","v156","v157","v158","v204","v20","v820","v200","v201"
140,"Gros Ventre",2,1,1,2,2,3,2,1,3,1,8,2,2,5,5
141,"Hidatsa",2,3,5,4,2,3,1,1,2,1,2,2,7,5,5
142,"Pawnee",2,3,4,3,2,3,1,1,3,3,4,2,4,5,6
143,"Omaha",2,3,3,5,2,3,1,2,3,1,4,2,2,5,6
144,"Huron",2,3,4,5,2,1,1,4,4,2,1,2,4,5,7
145,"Creek",3,3,4,3,3,2,4,2,4,1,2,3,4,5,7
146,"Natchez",3,5,4,4,3,1,1,3,4,4,3,2,4,5,7
147,"Comanche",3,1,1,3,1,3,1,1,2,1,9,2,2,5,5
148,"Chiricahua",2,1,2,1,2,1,1,1,3,1,4,2,1,5,8
149,"Zuni",3,5,5,5,5,4,3,2,2,1,1,2,7,5,8
150,"Havasupai",2,2,5,2,2,2,1,1,2,1,2,2,7,5,4
151,"Papago",2,3,5,3,2,2,3,4,2,1,2,1,7,5,9
152,"Huichol",2,5,4,3,3,2,3,2,2,2,2,2,6,5,9
153,"Aztec",5,5,5,5,5,1,4,5,4,5,1,4,7,5,0
154,"Popoluca",1,5,4,4,3,1,3,4,3,1,1,NA,6,5,0
155,"Quiche",4,5,4,5,3,2,3,4,3,2,0,2,6,6,1
156,"Miskito",1,5,4,3,3,1,3,3,3,1,2,1,4,6,1
157,"Bribri",2,5,4,1,3,1,1,3,2,1,1,2,4,6,1
158,"Cuna (Tule)",3,5,4,4,4,1,3,4,3,2,1,2,6,6,1
159,"Goajiro",2,1,2,1,3,2,3,1,3,2,1,2,5,6,2
160,"Haitians",5,5,4,5,4,2,5,5,5,5,0,5,6,6,2
161,"Callinago",2,4,5,3,3,1,1,3,2,2,1,2,4,6,2
162,"Warrau",2,2,2,1,3,1,1,1,2,1,3,1,3,6,3
163,"Yanomamo",1,4,4,2,1,1,1,1,2,1,0,1,6,6,4
164,"Carib (Barama)",2,4,3,1,2,1,1,1,2,1,2,1,3,6,3
165,"Saramacca",3,5,4,2,2,1,1,3,4,1,2,2,4,6,3
166,"Mundurucu",1,5,4,2,3,1,1,1,2,1,3,1,4,6,4
167,"Cubeo (Tucano)",1,5,4,1,2,1,1,1,2,2,1,2,4,6,5
168,"Cayapa",1,5,4,4,3,1,1,2,2,1,1,2,4,6,6
169,"Jivaro",1,4,4,1,3,1,1,1,1,1,2,1,6,6,5
170,"Amahuaca",1,4,4,1,3,1,1,1,1,1,4,2,6,6,5
171,"Inca",3,5,5,2,5,2,1,3,5,5,1,4,7,6,6
172,"Aymara",3,5,5,4,4,2,1,5,3,2,0,2,7,6,6
173,"Siriono",1,2,2,1,2,1,1,1,2,1,5,1,2,6,5
174,"Nambicuara",1,2,3,1,3,1,1,1,2,1,3,2,1,6,9
175,"Trumai",1,5,4,1,3,1,1,1,2,1,1,2,4,6,9
176,"Timbira",2,4,4,3,3,1,1,2,2,1,3,2,4,6,0
177,"Tupinamba",1,4,4,4,3,1,1,1,3,2,2,2,4,6,0
178,"Botocudo",1,1,1,1,1,1,1,1,2,1,4,1,2,6,0
179,"Shavante",1,2,2,3,1,1,1,1,2,1,3,1,1,6,0
180,"Aweikoma",1,1,1,1,2,1,1,1,1,1,6,1,2,6,0
181,"Cayua",1,2,3,1,3,1,1,1,2,1,2,3,2,6,0
182,"Lengua",2,1,3,2,3,2,1,1,2,1,5,1,2,6,8
183,"Abipon",1,1,1,3,3,2,1,1,2,4,6,1,2,6,8
184,"Mapuche",2,5,5,1,4,4,3,4,3,2,0,2,7,6,7
185,"Tehuelche",1,1,1,2,4,2,1,1,2,1,7,2,2,6,7
186,"Yahgan",1,1,1,1,1,1,1,1,2,1,2,1,3,6,7
901,"Dogon",2,5,5,2,5,2,4,3,2,4,0,1,NA,NA,NA
902,"Kanuri",5,5,5,5,5,2,5,4,5,4,0,1,NA,NA,NA
903,"Shluh",5,5,5,2,4,2,5,3,5,1,0,1,NA,NA,NA
904,"Libyan Bedouin",5,2,3,4,3,3,2,3,2,2,0,1,NA,NA,NA
905,"Serbs",5,5,5,5,5,4,5,5,5,1,0,1,NA,NA,NA
906,"Yakut",5,2,2,1,5,4,5,5,5,5,2,1,NA,NA,NA
907,"Sinhalese",5,5,5,5,5,4,5,5,5,5,0,1,NA,NA,NA
908,"Khasi",1,5,4,1,5,2,5,4,5,2,1,1,NA,NA,NA
909,"Lau Fijians",5,5,4,1,2,3,4,4,5,1,0,1,NA,NA,NA
910,"Taiwan Hokkien",5,5,5,5,5,3,5,5,5,5,0,1,NA,NA,NA
911,"Highland Scots",5,5,3,3,5,3,5,3,5,1,0,1,NA,NA,NA
912,"Bahia Brazilians",5,5,4,5,5,2,5,5,3,5,0,1,NA,NA,NA
913,"Tlingit",1,3,1,3,3,4,4,1,1,2,3,1,NA,NA,NA
914,"Blackfoot",2,1,1,3,1,3,4,1,2,1,8,1,NA,NA,NA
915,"Iroquois",2,5,4,3,3,3,4,2,4,1,3,1,NA,NA,NA
916,"Hopi",1,5,5,3,3,3,5,2,3,1,1,1,NA,NA,NA
917,"Tarahumara",1,5,4,3,3,2,2,1,2,1,1,1,NA,NA,NA
918,"Tzeltal",1,5,5,4,3,2,2,3,2,5,0,1,NA,NA,NA
919,"Kogi",1,5,4,3,3,3,2,3,2,1,0,1,NA,NA,NA
920,"Ona",1,1,1,1,1,1,2,1,2,1,6,0,NA,NA,NA
921,"Mataco",1,2,2,2,3,2,4,3,2,1,2,1,NA,NA,NA
922,"Bororo",1,4,2,2,2,1,2,1,2,1,5,0,NA,NA,NA
